Sat Mar 28 06:05:01 PDT 2020 - start
* # of countries 176
1/177 - TOTAL - last value from 2020-3-27 with 593291 cases, 27198 deaths, 130915 recovered, 435178 active cases.
2/177 - US - last value from 2020-3-27 with 101657 cases, 1581 deaths, 869 recovered, 99207 active cases.
3/177 - Italy - last value from 2020-3-27 with 86498 cases, 9134 deaths, 10950 recovered, 66414 active cases.
4/177 - China - last value from 2020-3-27 with 81897 cases, 3296 deaths, 74720 recovered, 3881 active cases.
5/177 - Spain - last value from 2020-3-27 with 65719 cases, 5138 deaths, 9357 recovered, 51224 active cases.
6/177 - Germany - last value from 2020-3-27 with 50871 cases, 342 deaths, 6658 recovered, 43871 active cases.
7/177 - France - last value from 2020-3-27 with 33402 cases, 1997 deaths, 5707 recovered, 25698 active cases.
8/177 - Iran - last value from 2020-3-27 with 32332 cases, 2378 deaths, 11133 recovered, 18821 active cases.
9/177 - United Kingdom - last value from 2020-3-27 with 14745 cases, 761 deaths, 151 recovered, 13833 active cases.
10/177 - Switzerland - last value from 2020-3-27 with 12928 cases, 231 deaths, 1530 recovered, 11167 active cases.
11/177 - Korea, South - last value from 2020-3-27 with 9332 cases, 139 deaths, 4528 recovered, 4665 active cases.
12/177 - Netherlands - last value from 2020-3-27 with 8647 cases, 547 deaths, 6 recovered, 8094 active cases.
13/177 - Austria - last value from 2020-3-27 with 7657 cases, 58 deaths, 225 recovered, 7374 active cases.
14/177 - Belgium - last value from 2020-3-27 with 7284 cases, 289 deaths, 858 recovered, 6137 active cases.
15/177 - Turkey - last value from 2020-3-27 with 5698 cases, 92 deaths, 42 recovered, 5564 active cases.
16/177 - Canada - last value from 2020-3-27 with 4682 cases, 54 deaths, 256 recovered, 4372 active cases.
17/177 - Portugal - last value from 2020-3-27 with 4268 cases, 76 deaths, 43 recovered, 4149 active cases.
18/177 - Norway - last value from 2020-3-27 with 3755 cases, 19 deaths, 6 recovered, 3730 active cases.
19/177 - Brazil - last value from 2020-3-27 with 3417 cases, 92 deaths, 6 recovered, 3319 active cases.
20/177 - Australia - last value from 2020-3-27 with 3143 cases, 13 deaths, 194 recovered, 2936 active cases.
21/177 - Sweden - last value from 2020-3-27 with 3069 cases, 105 deaths, 16 recovered, 2948 active cases.
22/177 - Israel - last value from 2020-3-27 with 3035 cases, 12 deaths, 79 recovered, 2944 active cases.
23/177 - Czechia - last value from 2020-3-27 with 2279 cases, 9 deaths, 11 recovered, 2259 active cases.
24/177 - Denmark - last value from 2020-3-27 with 2200 cases, 52 deaths, 57 recovered, 2091 active cases.
25/177 - Malaysia - last value from 2020-3-27 with 2161 cases, 26 deaths, 259 recovered, 1876 active cases.
26/177 - Ireland - last value from 2020-3-27 with 2121 cases, 22 deaths, 5 recovered, 2094 active cases.
27/177 - Chile - last value from 2020-3-27 with 1610 cases, 5 deaths, 43 recovered, 1562 active cases.
28/177 - Luxembourg - last value from 2020-3-27 with 1605 cases, 15 deaths, 40 recovered, 1550 active cases.
29/177 - Ecuador - last value from 2020-3-27 with 1595 cases, 36 deaths, 3 recovered, 1556 active cases.
30/177 - Japan - last value from 2020-3-27 with 1468 cases, 49 deaths, 372 recovered, 1047 active cases.
31/177 - Poland - last value from 2020-3-27 with 1389 cases, 16 deaths, 7 recovered, 1366 active cases.
32/177 - Pakistan - last value from 2020-3-27 with 1373 cases, 11 deaths, 23 recovered, 1339 active cases.
33/177 - Romania - last value from 2020-3-27 with 1292 cases, 26 deaths, 115 recovered, 1151 active cases.
34/177 - South Africa - last value from 2020-3-27 with 1170 cases, 1 deaths, 31 recovered, 1138 active cases.
35/177 - Thailand - last value from 2020-3-27 with 1136 cases, 5 deaths, 97 recovered, 1034 active cases.
36/177 - Saudi Arabia - last value from 2020-3-27 with 1104 cases, 3 deaths, 35 recovered, 1066 active cases.
37/177 - Indonesia - last value from 2020-3-27 with 1046 cases, 87 deaths, 46 recovered, 913 active cases.
38/177 - Finland - last value from 2020-3-27 with 1041 cases, 7 deaths, 10 recovered, 1024 active cases.
39/177 - Russia - last value from 2020-3-27 with 1036 cases, 4 deaths, 45 recovered, 987 active cases.
40/177 - Greece - last value from 2020-3-27 with 966 cases, 28 deaths, 52 recovered, 886 active cases.
41/177 - Iceland - last value from 2020-3-27 with 890 cases, 2 deaths, 97 recovered, 791 active cases.
42/177 - India - last value from 2020-3-27 with 887 cases, 20 deaths, 73 recovered, 794 active cases.
43/177 - Philippines - last value from 2020-3-27 with 803 cases, 54 deaths, 31 recovered, 718 active cases.
44/177 - Singapore - last value from 2020-3-27 with 732 cases, 2 deaths, 183 recovered, 547 active cases.
45/177 - Diamond Princess - last value from 2020-3-27 with 712 cases, 10 deaths, 597 recovered, 105 active cases.
46/177 - Panama - last value from 2020-3-27 with 674 cases, 9 deaths, 2 recovered, 663 active cases.
47/177 - Peru - last value from 2020-3-27 with 635 cases, 11 deaths, 16 recovered, 608 active cases.
48/177 - Slovenia - last value from 2020-3-27 with 632 cases, 9 deaths, 10 recovered, 613 active cases.
49/177 - Argentina - last value from 2020-3-27 with 589 cases, 13 deaths, 72 recovered, 504 active cases.
50/177 - Croatia - last value from 2020-3-27 with 586 cases, 3 deaths, 37 recovered, 546 active cases.
51/177 - Mexico - last value from 2020-3-27 with 585 cases, 8 deaths, 4 recovered, 573 active cases.
52/177 - Dominican Republic - last value from 2020-3-27 with 581 cases, 20 deaths, 3 recovered, 558 active cases.
53/177 - Estonia - last value from 2020-3-27 with 575 cases, 1 deaths, 11 recovered, 563 active cases.
54/177 - Qatar - last value from 2020-3-27 with 562 cases, 0 deaths, 43 recovered, 519 active cases.
55/177 - Colombia - last value from 2020-3-27 with 539 cases, 6 deaths, 10 recovered, 523 active cases.
56/177 - Egypt - last value from 2020-3-27 with 536 cases, 30 deaths, 116 recovered, 390 active cases.
57/177 - Bahrain - last value from 2020-3-27 with 466 cases, 4 deaths, 227 recovered, 235 active cases.
58/177 - Iraq - last value from 2020-3-27 with 458 cases, 40 deaths, 122 recovered, 296 active cases.
59/177 - Serbia - last value from 2020-3-27 with 457 cases, 1 deaths, 0 recovered, 456 active cases.
60/177 - Algeria - last value from 2020-3-27 with 409 cases, 26 deaths, 29 recovered, 354 active cases.
61/177 - United Arab Emirates - last value from 2020-3-27 with 405 cases, 2 deaths, 52 recovered, 351 active cases.
62/177 - Lebanon - last value from 2020-3-27 with 391 cases, 8 deaths, 27 recovered, 356 active cases.
63/177 - New Zealand - last value from 2020-3-27 with 368 cases, 0 deaths, 37 recovered, 331 active cases.
64/177 - Lithuania - last value from 2020-3-27 with 358 cases, 5 deaths, 1 recovered, 352 active cases.
65/177 - Morocco - last value from 2020-3-27 with 345 cases, 23 deaths, 11 recovered, 311 active cases.
66/177 - Armenia - last value from 2020-3-27 with 329 cases, 1 deaths, 28 recovered, 300 active cases.
