Thu Mar 26 13:05:26 PDT 2020 - start
* # of countries 174
1/175 - TOTAL - last value from 2020-3-25 with 467593 cases, 21180 deaths, 0 recovered, 446413 active cases.
2/175 - China - last value from 2020-3-25 with 81661 cases, 3285 deaths, 0 recovered, 78376 active cases.
3/175 - Italy - last value from 2020-3-25 with 74386 cases, 7503 deaths, 0 recovered, 66883 active cases.
4/175 - US - last value from 2020-3-25 with 65778 cases, 942 deaths, 0 recovered, 64836 active cases.
5/175 - Spain - last value from 2020-3-25 with 49515 cases, 3647 deaths, 0 recovered, 45868 active cases.
6/175 - Germany - last value from 2020-3-25 with 37323 cases, 206 deaths, 0 recovered, 37117 active cases.
7/175 - Iran - last value from 2020-3-25 with 27017 cases, 2077 deaths, 0 recovered, 24940 active cases.
8/175 - France - last value from 2020-3-25 with 25600 cases, 1333 deaths, 0 recovered, 24267 active cases.
9/175 - Switzerland - last value from 2020-3-25 with 10897 cases, 153 deaths, 0 recovered, 10744 active cases.
10/175 - United Kingdom - last value from 2020-3-25 with 9640 cases, 466 deaths, 0 recovered, 9174 active cases.
11/175 - Korea, South - last value from 2020-3-25 with 9137 cases, 126 deaths, 0 recovered, 9011 active cases.
12/175 - Netherlands - last value from 2020-3-25 with 6438 cases, 357 deaths, 0 recovered, 6081 active cases.
13/175 - Austria - last value from 2020-3-25 with 5588 cases, 30 deaths, 0 recovered, 5558 active cases.
14/175 - Belgium - last value from 2020-3-25 with 4937 cases, 178 deaths, 0 recovered, 4759 active cases.
15/175 - Canada - last value from 2020-3-25 with 3251 cases, 30 deaths, 0 recovered, 3221 active cases.
16/175 - Norway - last value from 2020-3-25 with 3084 cases, 14 deaths, 0 recovered, 3070 active cases.
17/175 - Portugal - last value from 2020-3-25 with 2995 cases, 43 deaths, 0 recovered, 2952 active cases.
18/175 - Brazil - last value from 2020-3-25 with 2554 cases, 59 deaths, 0 recovered, 2495 active cases.
19/175 - Sweden - last value from 2020-3-25 with 2526 cases, 62 deaths, 0 recovered, 2464 active cases.
20/175 - Turkey - last value from 2020-3-25 with 2433 cases, 59 deaths, 0 recovered, 2374 active cases.
21/175 - Israel - last value from 2020-3-25 with 2369 cases, 5 deaths, 0 recovered, 2364 active cases.
22/175 - Australia - last value from 2020-3-25 with 2364 cases, 8 deaths, 0 recovered, 2356 active cases.
23/175 - Denmark - last value from 2020-3-25 with 1862 cases, 34 deaths, 0 recovered, 1828 active cases.
24/175 - Malaysia - last value from 2020-3-25 with 1796 cases, 20 deaths, 0 recovered, 1776 active cases.
25/175 - Czechia - last value from 2020-3-25 with 1654 cases, 6 deaths, 0 recovered, 1648 active cases.
26/175 - Ireland - last value from 2020-3-25 with 1564 cases, 9 deaths, 0 recovered, 1555 active cases.
27/175 - Luxembourg - last value from 2020-3-25 with 1333 cases, 8 deaths, 0 recovered, 1325 active cases.
28/175 - Japan - last value from 2020-3-25 with 1307 cases, 45 deaths, 0 recovered, 1262 active cases.
29/175 - Ecuador - last value from 2020-3-25 with 1173 cases, 28 deaths, 0 recovered, 1145 active cases.
30/175 - Chile - last value from 2020-3-25 with 1142 cases, 3 deaths, 0 recovered, 1139 active cases.
31/175 - Pakistan - last value from 2020-3-25 with 1063 cases, 8 deaths, 0 recovered, 1055 active cases.
32/175 - Poland - last value from 2020-3-25 with 1051 cases, 14 deaths, 0 recovered, 1037 active cases.
33/175 - Thailand - last value from 2020-3-25 with 934 cases, 4 deaths, 0 recovered, 930 active cases.
34/175 - Romania - last value from 2020-3-25 with 906 cases, 17 deaths, 0 recovered, 889 active cases.
35/175 - Saudi Arabia - last value from 2020-3-25 with 900 cases, 2 deaths, 0 recovered, 898 active cases.
36/175 - Finland - last value from 2020-3-25 with 880 cases, 3 deaths, 0 recovered, 877 active cases.
37/175 - Greece - last value from 2020-3-25 with 821 cases, 22 deaths, 0 recovered, 799 active cases.
38/175 - Indonesia - last value from 2020-3-25 with 790 cases, 58 deaths, 0 recovered, 732 active cases.
39/175 - Iceland - last value from 2020-3-25 with 737 cases, 2 deaths, 0 recovered, 735 active cases.
40/175 - Diamond Princess - last value from 2020-3-25 with 712 cases, 10 deaths, 0 recovered, 702 active cases.
41/175 - South Africa - last value from 2020-3-25 with 709 cases, 0 deaths, 0 recovered, 709 active cases.
42/175 - Russia - last value from 2020-3-25 with 658 cases, 3 deaths, 0 recovered, 655 active cases.
43/175 - India - last value from 2020-3-25 with 657 cases, 12 deaths, 0 recovered, 645 active cases.
44/175 - Philippines - last value from 2020-3-25 with 636 cases, 38 deaths, 0 recovered, 598 active cases.
45/175 - Singapore - last value from 2020-3-25 with 631 cases, 2 deaths, 0 recovered, 629 active cases.
46/175 - Qatar - last value from 2020-3-25 with 537 cases, 0 deaths, 0 recovered, 537 active cases.
47/175 - Slovenia - last value from 2020-3-25 with 528 cases, 5 deaths, 0 recovered, 523 active cases.
48/175 - Peru - last value from 2020-3-25 with 480 cases, 9 deaths, 0 recovered, 471 active cases.
49/175 - Colombia - last value from 2020-3-25 with 470 cases, 4 deaths, 0 recovered, 466 active cases.
50/175 - Egypt - last value from 2020-3-25 with 456 cases, 21 deaths, 0 recovered, 435 active cases.
51/175 - Panama - last value from 2020-3-25 with 443 cases, 8 deaths, 0 recovered, 435 active cases.
52/175 - Croatia - last value from 2020-3-25 with 442 cases, 1 deaths, 0 recovered, 441 active cases.
53/175 - Bahrain - last value from 2020-3-25 with 419 cases, 4 deaths, 0 recovered, 415 active cases.
54/175 - Mexico - last value from 2020-3-25 with 405 cases, 5 deaths, 0 recovered, 400 active cases.
55/175 - Estonia - last value from 2020-3-25 with 404 cases, 1 deaths, 0 recovered, 403 active cases.
56/175 - Dominican Republic - last value from 2020-3-25 with 392 cases, 10 deaths, 0 recovered, 382 active cases.
57/175 - Argentina - last value from 2020-3-25 with 387 cases, 8 deaths, 0 recovered, 379 active cases.
58/175 - Serbia - last value from 2020-3-25 with 384 cases, 4 deaths, 0 recovered, 380 active cases.
59/175 - Iraq - last value from 2020-3-25 with 346 cases, 29 deaths, 0 recovered, 317 active cases.
60/175 - Lebanon - last value from 2020-3-25 with 333 cases, 6 deaths, 0 recovered, 327 active cases.
61/175 - United Arab Emirates - last value from 2020-3-25 with 333 cases, 2 deaths, 0 recovered, 331 active cases.
62/175 - Algeria - last value from 2020-3-25 with 302 cases, 21 deaths, 0 recovered, 281 active cases.
63/175 - Lithuania - last value from 2020-3-25 with 274 cases, 4 deaths, 0 recovered, 270 active cases.
64/175 - Armenia - last value from 2020-3-25 with 265 cases, 0 deaths, 0 recovered, 265 active cases.
65/175 - Bulgaria - last value from 2020-3-25 with 242 cases, 3 deaths, 0 recovered, 239 active cases.
66/175 - Taiwan* - last value from 2020-3-25 with 235 cases, 2 deaths, 0 recovered, 233 active cases.
67/175 - Hungary - last value from 2020-3-25 with 226 cases, 10 deaths, 0 recovered, 216 active cases.
