Tue Mar 31 12:05:01 PDT 2020 - start
* # of countries 178
1/179 - TOTAL - last value from 2020-3-30 with 782365 cases, 37582 deaths, 164566 recovered, 580217 active cases.
2/179 - US - last value from 2020-3-30 with 161807 cases, 2978 deaths, 5644 recovered, 153185 active cases.
3/179 - Italy - last value from 2020-3-30 with 101739 cases, 11591 deaths, 14620 recovered, 75528 active cases.
4/179 - Spain - last value from 2020-3-30 with 87956 cases, 7716 deaths, 16780 recovered, 63460 active cases.
5/179 - China - last value from 2020-3-30 with 82198 cases, 3308 deaths, 75923 recovered, 2967 active cases.
6/179 - Germany - last value from 2020-3-30 with 66885 cases, 645 deaths, 13500 recovered, 52740 active cases.
7/179 - France - last value from 2020-3-30 with 45170 cases, 3030 deaths, 7964 recovered, 34176 active cases.
8/179 - Iran - last value from 2020-3-30 with 41495 cases, 2757 deaths, 13911 recovered, 24827 active cases.
9/179 - United Kingdom - last value from 2020-3-30 with 22453 cases, 1411 deaths, 171 recovered, 20871 active cases.
10/179 - Switzerland - last value from 2020-3-30 with 15922 cases, 359 deaths, 1823 recovered, 13740 active cases.
11/179 - Belgium - last value from 2020-3-30 with 11899 cases, 513 deaths, 1527 recovered, 9859 active cases.
12/179 - Netherlands - last value from 2020-3-30 with 11817 cases, 865 deaths, 253 recovered, 10699 active cases.
13/179 - Turkey - last value from 2020-3-30 with 10827 cases, 168 deaths, 162 recovered, 10497 active cases.
14/179 - Korea, South - last value from 2020-3-30 with 9661 cases, 158 deaths, 5228 recovered, 4275 active cases.
15/179 - Austria - last value from 2020-3-30 with 9618 cases, 108 deaths, 636 recovered, 8874 active cases.
16/179 - Canada - last value from 2020-3-30 with 7398 cases, 80 deaths, 466 recovered, 6852 active cases.
17/179 - Portugal - last value from 2020-3-30 with 6408 cases, 140 deaths, 43 recovered, 6225 active cases.
18/179 - Israel - last value from 2020-3-30 with 4695 cases, 16 deaths, 161 recovered, 4518 active cases.
