Mon Mar 23 06:05:01 PDT 2020 - start
* # of countries 171
1/172 - TOTAL - last value from 2020-3-22 with 335955 cases, 14632 deaths, 97704 recovered, 223619 active cases.
2/172 - China - last value from 2020-3-22 with 81397 cases, 3265 deaths, 72362 recovered, 5770 active cases.
3/172 - Italy - last value from 2020-3-22 with 59138 cases, 5476 deaths, 7024 recovered, 46638 active cases.
4/172 - US - last value from 2020-3-22 with 33272 cases, 417 deaths, 0 recovered, 32855 active cases.
5/172 - Spain - last value from 2020-3-22 with 28768 cases, 1772 deaths, 2575 recovered, 24421 active cases.
6/172 - Germany - last value from 2020-3-22 with 24873 cases, 94 deaths, 266 recovered, 24513 active cases.
7/172 - Iran - last value from 2020-3-22 with 21638 cases, 1685 deaths, 7931 recovered, 12022 active cases.
8/172 - France - last value from 2020-3-22 with 16176 cases, 674 deaths, 2206 recovered, 13296 active cases.
9/172 - Korea, South - last value from 2020-3-22 with 8897 cases, 104 deaths, 2909 recovered, 5884 active cases.
10/172 - Switzerland - last value from 2020-3-22 with 7245 cases, 98 deaths, 131 recovered, 7016 active cases.
11/172 - United Kingdom - last value from 2020-3-22 with 5741 cases, 282 deaths, 67 recovered, 5392 active cases.
12/172 - Netherlands - last value from 2020-3-22 with 4216 cases, 180 deaths, 2 recovered, 4034 active cases.
13/172 - Belgium - last value from 2020-3-22 with 3401 cases, 75 deaths, 263 recovered, 3063 active cases.
14/172 - Austria - last value from 2020-3-22 with 3244 cases, 16 deaths, 9 recovered, 3219 active cases.
15/172 - Norway - last value from 2020-3-22 with 2383 cases, 7 deaths, 1 recovered, 2375 active cases.
16/172 - Sweden - last value from 2020-3-22 with 1934 cases, 21 deaths, 16 recovered, 1897 active cases.
17/172 - Portugal - last value from 2020-3-22 with 1600 cases, 14 deaths, 5 recovered, 1581 active cases.
18/172 - Brazil - last value from 2020-3-22 with 1593 cases, 25 deaths, 2 recovered, 1566 active cases.
19/172 - Denmark - last value from 2020-3-22 with 1514 cases, 13 deaths, 1 recovered, 1500 active cases.
20/172 - Canada - last value from 2020-3-22 with 1465 cases, 21 deaths, 10 recovered, 1434 active cases.
21/172 - Australia - last value from 2020-3-22 with 1314 cases, 7 deaths, 88 recovered, 1219 active cases.
22/172 - Malaysia - last value from 2020-3-22 with 1306 cases, 10 deaths, 139 recovered, 1157 active cases.
23/172 - Turkey - last value from 2020-3-22 with 1236 cases, 30 deaths, 0 recovered, 1206 active cases.
24/172 - Czechia - last value from 2020-3-22 with 1120 cases, 1 deaths, 6 recovered, 1113 active cases.
25/172 - Japan - last value from 2020-3-22 with 1086 cases, 40 deaths, 235 recovered, 811 active cases.
26/172 - Israel - last value from 2020-3-22 with 1071 cases, 1 deaths, 37 recovered, 1033 active cases.
27/172 - Ireland - last value from 2020-3-22 with 906 cases, 4 deaths, 5 recovered, 897 active cases.
28/172 - Luxembourg - last value from 2020-3-22 with 798 cases, 8 deaths, 6 recovered, 784 active cases.
29/172 - Ecuador - last value from 2020-3-22 with 789 cases, 14 deaths, 3 recovered, 772 active cases.
30/172 - Pakistan - last value from 2020-3-22 with 776 cases, 5 deaths, 5 recovered, 766 active cases.
31/172 - Cruise Ship - last value from 2020-3-22 with 712 cases, 8 deaths, 325 recovered, 379 active cases.
32/172 - Poland - last value from 2020-3-22 with 634 cases, 7 deaths, 1 recovered, 626 active cases.
33/172 - Chile - last value from 2020-3-22 with 632 cases, 1 deaths, 8 recovered, 623 active cases.
34/172 - Finland - last value from 2020-3-22 with 626 cases, 1 deaths, 10 recovered, 615 active cases.
35/172 - Greece - last value from 2020-3-22 with 624 cases, 15 deaths, 19 recovered, 590 active cases.
36/172 - Thailand - last value from 2020-3-22 with 599 cases, 1 deaths, 44 recovered, 554 active cases.
37/172 - Iceland - last value from 2020-3-22 with 568 cases, 1 deaths, 36 recovered, 531 active cases.
38/172 - Indonesia - last value from 2020-3-22 with 514 cases, 48 deaths, 29 recovered, 437 active cases.
39/172 - Saudi Arabia - last value from 2020-3-22 with 511 cases, 0 deaths, 16 recovered, 495 active cases.
40/172 - Qatar - last value from 2020-3-22 with 494 cases, 0 deaths, 33 recovered, 461 active cases.
41/172 - Singapore - last value from 2020-3-22 with 455 cases, 2 deaths, 144 recovered, 309 active cases.
42/172 - Romania - last value from 2020-3-22 with 433 cases, 3 deaths, 64 recovered, 366 active cases.
43/172 - Slovenia - last value from 2020-3-22 with 414 cases, 2 deaths, 0 recovered, 412 active cases.
44/172 - India - last value from 2020-3-22 with 396 cases, 7 deaths, 27 recovered, 362 active cases.
45/172 - Philippines - last value from 2020-3-22 with 380 cases, 25 deaths, 17 recovered, 338 active cases.
46/172 - Russia - last value from 2020-3-22 with 367 cases, 0 deaths, 16 recovered, 351 active cases.
47/172 - Peru - last value from 2020-3-22 with 363 cases, 5 deaths, 1 recovered, 357 active cases.
48/172 - Bahrain - last value from 2020-3-22 with 332 cases, 2 deaths, 149 recovered, 181 active cases.
49/172 - Egypt - last value from 2020-3-22 with 327 cases, 14 deaths, 56 recovered, 257 active cases.
50/172 - Estonia - last value from 2020-3-22 with 326 cases, 0 deaths, 2 recovered, 324 active cases.
51/172 - South Africa - last value from 2020-3-22 with 274 cases, 0 deaths, 0 recovered, 274 active cases.
52/172 - Croatia - last value from 2020-3-22 with 254 cases, 1 deaths, 5 recovered, 248 active cases.
53/172 - Mexico - last value from 2020-3-22 with 251 cases, 2 deaths, 4 recovered, 245 active cases.
54/172 - Lebanon - last value from 2020-3-22 with 248 cases, 4 deaths, 8 recovered, 236 active cases.
55/172 - Panama - last value from 2020-3-22 with 245 cases, 3 deaths, 0 recovered, 242 active cases.
56/172 - Iraq - last value from 2020-3-22 with 233 cases, 20 deaths, 57 recovered, 156 active cases.
57/172 - Colombia - last value from 2020-3-22 with 231 cases, 2 deaths, 3 recovered, 226 active cases.
58/172 - Argentina - last value from 2020-3-22 with 225 cases, 4 deaths, 3 recovered, 218 active cases.
59/172 - Serbia - last value from 2020-3-22 with 222 cases, 2 deaths, 1 recovered, 219 active cases.
60/172 - Dominican Republic - last value from 2020-3-22 with 202 cases, 3 deaths, 0 recovered, 199 active cases.
61/172 - Algeria - last value from 2020-3-22 with 201 cases, 17 deaths, 65 recovered, 119 active cases.
62/172 - Armenia - last value from 2020-3-22 with 194 cases, 0 deaths, 2 recovered, 192 active cases.
63/172 - Kuwait - last value from 2020-3-22 with 188 cases, 0 deaths, 27 recovered, 161 active cases.
64/172 - Bulgaria - last value from 2020-3-22 with 187 cases, 3 deaths, 3 recovered, 181 active cases.
65/172 - Slovakia - last value from 2020-3-22 with 185 cases, 1 deaths, 7 recovered, 177 active cases.
66/172 - Taiwan* - last value from 2020-3-22 with 169 cases, 2 deaths, 28 recovered, 139 active cases.
67/172 - San Marino - last value from 2020-3-22 with 160 cases, 20 deaths, 4 recovered, 136 active cases.
68/172 - United Arab Emirates - last value from 2020-3-22 with 153 cases, 2 deaths, 38 recovered, 113 active cases.
69/172 - Latvia - last value from 2020-3-22 with 139 cases, 0 deaths, 1 recovered, 138 active cases.
70/172 - Uruguay - last value from 2020-3-22 with 135 cases, 0 deaths, 0 recovered, 135 active cases.
71/172 - Costa Rica - last value from 2020-3-22 with 134 cases, 2 deaths, 2 recovered, 130 active cases.
72/172 - Lithuania - last value from 2020-3-22 with 131 cases, 1 deaths, 1 recovered, 129 active cases.
73/172 - Hungary - last value from 2020-3-22 with 131 cases, 6 deaths, 16 recovered, 109 active cases.
74/172 - Bosnia and Herzegovina - last value from 2020-3-22 with 126 cases, 1 deaths, 2 recovered, 123 active cases.
75/172 - Morocco - last value from 2020-3-22 with 115 cases, 4 deaths, 3 recovered, 108 active cases.
76/172 - North Macedonia - last value from 2020-3-22 with 114 cases, 1 deaths, 1 recovered, 112 active cases.
77/172 - Andorra - last value from 2020-3-22 with 113 cases, 1 deaths, 1 recovered, 111 active cases.
78/172 - Vietnam - last value from 2020-3-22 with 113 cases, 0 deaths, 17 recovered, 96 active cases.
79/172 - Jordan - last value from 2020-3-22 with 112 cases, 0 deaths, 1 recovered, 111 active cases.
80/172 - Cyprus - last value from 2020-3-22 with 95 cases, 1 deaths, 3 recovered, 91 active cases.
81/172 - Moldova - last value from 2020-3-22 with 94 cases, 1 deaths, 1 recovered, 92 active cases.
82/172 - Malta - last value from 2020-3-22 with 90 cases, 0 deaths, 2 recovered, 88 active cases.
83/172 - Albania - last value from 2020-3-22 with 89 cases, 2 deaths, 2 recovered, 85 active cases.
84/172 - Brunei - last value from 2020-3-22 with 88 cases, 0 deaths, 2 recovered, 86 active cases.
85/172 - Cambodia - last value from 2020-3-22 with 84 cases, 0 deaths, 1 recovered, 83 active cases.
86/172 - Sri Lanka - last value from 2020-3-22 with 82 cases, 0 deaths, 3 recovered, 79 active cases.
87/172 - Belarus - last value from 2020-3-22 with 76 cases, 0 deaths, 15 recovered, 61 active cases.
88/172 - Tunisia - last value from 2020-3-22 with 75 cases, 3 deaths, 1 recovered, 71 active cases.
89/172 - Burkina Faso - last value from 2020-3-22 with 75 cases, 4 deaths, 5 recovered, 66 active cases.
90/172 - Ukraine - last value from 2020-3-22 with 73 cases, 3 deaths, 1 recovered, 69 active cases.
91/172 - Venezuela - last value from 2020-3-22 with 70 cases, 0 deaths, 15 recovered, 55 active cases.
92/172 - Senegal - last value from 2020-3-22 with 67 cases, 0 deaths, 5 recovered, 62 active cases.
93/172 - New Zealand - last value from 2020-3-22 with 66 cases, 0 deaths, 0 recovered, 66 active cases.
94/172 - Azerbaijan - last value from 2020-3-22 with 65 cases, 1 deaths, 10 recovered, 54 active cases.
95/172 - Kazakhstan - last value from 2020-3-22 with 60 cases, 0 deaths, 0 recovered, 60 active cases.
96/172 - Oman - last value from 2020-3-22 with 55 cases, 0 deaths, 17 recovered, 38 active cases.
