Thu Mar 26 18:05:01 PDT 2020 - start
* # of countries 175
1/176 - TOTAL - last value from 2020-3-26 with 529591 cases, 23970 deaths, 0 recovered, 505621 active cases.
2/176 - US - last value from 2020-3-26 with 83836 cases, 1209 deaths, 0 recovered, 82627 active cases.
3/176 - China - last value from 2020-3-26 with 81782 cases, 3291 deaths, 0 recovered, 78491 active cases.
4/176 - Italy - last value from 2020-3-26 with 80589 cases, 8215 deaths, 0 recovered, 72374 active cases.
5/176 - Spain - last value from 2020-3-26 with 57786 cases, 4365 deaths, 0 recovered, 53421 active cases.
6/176 - Germany - last value from 2020-3-26 with 43938 cases, 267 deaths, 0 recovered, 43671 active cases.
7/176 - France - last value from 2020-3-26 with 29551 cases, 1698 deaths, 0 recovered, 27853 active cases.
8/176 - Iran - last value from 2020-3-26 with 29406 cases, 2234 deaths, 0 recovered, 27172 active cases.
9/176 - United Kingdom - last value from 2020-3-26 with 11812 cases, 580 deaths, 0 recovered, 11232 active cases.
10/176 - Switzerland - last value from 2020-3-26 with 11811 cases, 191 deaths, 0 recovered, 11620 active cases.
11/176 - Korea, South - last value from 2020-3-26 with 9241 cases, 131 deaths, 0 recovered, 9110 active cases.
12/176 - Netherlands - last value from 2020-3-26 with 7468 cases, 435 deaths, 0 recovered, 7033 active cases.
13/176 - Austria - last value from 2020-3-26 with 6909 cases, 49 deaths, 0 recovered, 6860 active cases.
14/176 - Belgium - last value from 2020-3-26 with 6235 cases, 220 deaths, 0 recovered, 6015 active cases.
15/176 - Canada - last value from 2020-3-26 with 4042 cases, 38 deaths, 0 recovered, 4004 active cases.
16/176 - Turkey - last value from 2020-3-26 with 3629 cases, 75 deaths, 0 recovered, 3554 active cases.
17/176 - Portugal - last value from 2020-3-26 with 3544 cases, 60 deaths, 0 recovered, 3484 active cases.
18/176 - Norway - last value from 2020-3-26 with 3369 cases, 14 deaths, 0 recovered, 3355 active cases.
19/176 - Brazil - last value from 2020-3-26 with 2985 cases, 77 deaths, 0 recovered, 2908 active cases.
20/176 - Sweden - last value from 2020-3-26 with 2840 cases, 77 deaths, 0 recovered, 2763 active cases.
21/176 - Australia - last value from 2020-3-26 with 2810 cases, 13 deaths, 0 recovered, 2797 active cases.
22/176 - Israel - last value from 2020-3-26 with 2693 cases, 8 deaths, 0 recovered, 2685 active cases.
23/176 - Malaysia - last value from 2020-3-26 with 2031 cases, 23 deaths, 0 recovered, 2008 active cases.
24/176 - Denmark - last value from 2020-3-26 with 2023 cases, 41 deaths, 0 recovered, 1982 active cases.
25/176 - Czechia - last value from 2020-3-26 with 1925 cases, 9 deaths, 0 recovered, 1916 active cases.
26/176 - Ireland - last value from 2020-3-26 with 1819 cases, 19 deaths, 0 recovered, 1800 active cases.
27/176 - Luxembourg - last value from 2020-3-26 with 1453 cases, 9 deaths, 0 recovered, 1444 active cases.
28/176 - Ecuador - last value from 2020-3-26 with 1403 cases, 34 deaths, 0 recovered, 1369 active cases.
29/176 - Japan - last value from 2020-3-26 with 1387 cases, 47 deaths, 0 recovered, 1340 active cases.
30/176 - Chile - last value from 2020-3-26 with 1306 cases, 4 deaths, 0 recovered, 1302 active cases.
31/176 - Poland - last value from 2020-3-26 with 1221 cases, 16 deaths, 0 recovered, 1205 active cases.
32/176 - Pakistan - last value from 2020-3-26 with 1201 cases, 9 deaths, 0 recovered, 1192 active cases.
33/176 - Thailand - last value from 2020-3-26 with 1045 cases, 4 deaths, 0 recovered, 1041 active cases.
34/176 - Romania - last value from 2020-3-26 with 1029 cases, 23 deaths, 0 recovered, 1006 active cases.
35/176 - Saudi Arabia - last value from 2020-3-26 with 1012 cases, 3 deaths, 0 recovered, 1009 active cases.
36/176 - Finland - last value from 2020-3-26 with 958 cases, 5 deaths, 0 recovered, 953 active cases.
37/176 - South Africa - last value from 2020-3-26 with 927 cases, 0 deaths, 0 recovered, 927 active cases.
38/176 - Indonesia - last value from 2020-3-26 with 893 cases, 78 deaths, 0 recovered, 815 active cases.
39/176 - Greece - last value from 2020-3-26 with 892 cases, 26 deaths, 0 recovered, 866 active cases.
40/176 - Russia - last value from 2020-3-26 with 840 cases, 3 deaths, 0 recovered, 837 active cases.
41/176 - Iceland - last value from 2020-3-26 with 802 cases, 2 deaths, 0 recovered, 800 active cases.
42/176 - India - last value from 2020-3-26 with 727 cases, 20 deaths, 0 recovered, 707 active cases.
43/176 - Diamond Princess - last value from 2020-3-26 with 712 cases, 10 deaths, 0 recovered, 702 active cases.
44/176 - Philippines - last value from 2020-3-26 with 707 cases, 45 deaths, 0 recovered, 662 active cases.
45/176 - Singapore - last value from 2020-3-26 with 683 cases, 2 deaths, 0 recovered, 681 active cases.
46/176 - Peru - last value from 2020-3-26 with 580 cases, 9 deaths, 0 recovered, 571 active cases.
47/176 - Slovenia - last value from 2020-3-26 with 562 cases, 6 deaths, 0 recovered, 556 active cases.
48/176 - Panama - last value from 2020-3-26 with 558 cases, 8 deaths, 0 recovered, 550 active cases.
49/176 - Qatar - last value from 2020-3-26 with 549 cases, 0 deaths, 0 recovered, 549 active cases.
50/176 - Estonia - last value from 2020-3-26 with 538 cases, 1 deaths, 0 recovered, 537 active cases.
51/176 - Argentina - last value from 2020-3-26 with 502 cases, 9 deaths, 0 recovered, 493 active cases.
52/176 - Croatia - last value from 2020-3-26 with 495 cases, 3 deaths, 0 recovered, 492 active cases.
53/176 - Egypt - last value from 2020-3-26 with 495 cases, 24 deaths, 0 recovered, 471 active cases.
54/176 - Colombia - last value from 2020-3-26 with 491 cases, 6 deaths, 0 recovered, 485 active cases.
55/176 - Dominican Republic - last value from 2020-3-26 with 488 cases, 10 deaths, 0 recovered, 478 active cases.
56/176 - Mexico - last value from 2020-3-26 with 475 cases, 6 deaths, 0 recovered, 469 active cases.
57/176 - Bahrain - last value from 2020-3-26 with 458 cases, 4 deaths, 0 recovered, 454 active cases.
58/176 - Serbia - last value from 2020-3-26 with 384 cases, 1 deaths, 0 recovered, 383 active cases.
59/176 - Iraq - last value from 2020-3-26 with 382 cases, 36 deaths, 0 recovered, 346 active cases.
