Thu Mar 19 12:05:01 PDT 2020 - start
* # of countries 152
63/153 - Armenia - last value from 2020-3-18 with 84 cases, 0 deaths, 1 recovered, 83 active cases.
64/153 - Serbia - last value from 2020-3-18 with 83 cases, 0 deaths, 1 recovered, 82 active cases.
65/153 - Croatia - last value from 2020-3-18 with 81 cases, 0 deaths, 4 recovered, 77 active cases.
66/153 - Argentina - last value from 2020-3-18 with 79 cases, 2 deaths, 3 recovered, 74 active cases.
67/153 - Vietnam - last value from 2020-3-18 with 75 cases, 0 deaths, 16 recovered, 59 active cases.
68/153 - Algeria - last value from 2020-3-18 with 74 cases, 7 deaths, 12 recovered, 55 active cases.
69/153 - Latvia - last value from 2020-3-18 with 71 cases, 0 deaths, 1 recovered, 70 active cases.
70/153 - Brunei - last value from 2020-3-18 with 68 cases, 0 deaths, 0 recovered, 68 active cases.
71/153 - Albania - last value from 2020-3-18 with 59 cases, 2 deaths, 0 recovered, 57 active cases.
72/153 - Hungary - last value from 2020-3-18 with 58 cases, 1 deaths, 2 recovered, 55 active cases.
73/153 - Jordan - last value from 2020-3-18 with 52 cases, 0 deaths, 1 recovered, 51 active cases.
74/153 - Sri Lanka - last value from 2020-3-18 with 51 cases, 0 deaths, 1 recovered, 50 active cases.
75/153 - Belarus - last value from 2020-3-18 with 51 cases, 0 deaths, 5 recovered, 46 active cases.
76/153 - Costa Rica - last value from 2020-3-18 with 50 cases, 0 deaths, 0 recovered, 50 active cases.
77/153 - Uruguay - last value from 2020-3-18 with 50 cases, 0 deaths, 0 recovered, 50 active cases.
78/153 - Morocco - last value from 2020-3-18 with 49 cases, 2 deaths, 1 recovered, 46 active cases.
79/153 - Cyprus - last value from 2020-3-18 with 49 cases, 0 deaths, 0 recovered, 49 active cases.
80/153 - Oman - last value from 2020-3-18 with 39 cases, 0 deaths, 12 recovered, 27 active cases.
81/153 - Andorra - last value from 2020-3-18 with 39 cases, 0 deaths, 1 recovered, 38 active cases.
82/153 - Georgia - last value from 2020-3-18 with 38 cases, 0 deaths, 1 recovered, 37 active cases.
83/153 - Bosnia and Herzegovina - last value from 2020-3-18 with 38 cases, 0 deaths, 2 recovered, 36 active cases.
