Fri Mar 20 12:05:01 PDT 2020 - start
* # of countries 155
1/156 - TOTAL - last value from 2020-3-19 with 242708 cases, 9867 deaths, 84854 recovered, 147987 active cases.
2/156 - China - last value from 2020-3-19 with 81156 cases, 3249 deaths, 70535 recovered, 7372 active cases.
3/156 - Italy - last value from 2020-3-19 with 41035 cases, 3405 deaths, 4440 recovered, 33190 active cases.
4/156 - Iran - last value from 2020-3-19 with 18407 cases, 1284 deaths, 5710 recovered, 11413 active cases.
5/156 - Spain - last value from 2020-3-19 with 17963 cases, 830 deaths, 1107 recovered, 16026 active cases.
6/156 - Germany - last value from 2020-3-19 with 15320 cases, 44 deaths, 113 recovered, 15163 active cases.
7/156 - US - last value from 2020-3-19 with 13677 cases, 200 deaths, 0 recovered, 13477 active cases.
8/156 - France - last value from 2020-3-19 with 10947 cases, 243 deaths, 12 recovered, 10692 active cases.
9/156 - Korea, South - last value from 2020-3-19 with 8565 cases, 91 deaths, 1540 recovered, 6934 active cases.
10/156 - Switzerland - last value from 2020-3-19 with 4075 cases, 41 deaths, 15 recovered, 4019 active cases.
11/156 - United Kingdom - last value from 2020-3-19 with 2716 cases, 138 deaths, 67 recovered, 2511 active cases.
12/156 - Netherlands - last value from 2020-3-19 with 2467 cases, 77 deaths, 2 recovered, 2388 active cases.
13/156 - Austria - last value from 2020-3-19 with 2013 cases, 6 deaths, 9 recovered, 1998 active cases.
14/156 - Belgium - last value from 2020-3-19 with 1795 cases, 21 deaths, 31 recovered, 1743 active cases.
15/156 - Norway - last value from 2020-3-19 with 1746 cases, 7 deaths, 1 recovered, 1738 active cases.
16/156 - Sweden - last value from 2020-3-19 with 1439 cases, 11 deaths, 16 recovered, 1412 active cases.
17/156 - Denmark - last value from 2020-3-19 with 1225 cases, 6 deaths, 1 recovered, 1218 active cases.
18/156 - Japan - last value from 2020-3-19 with 924 cases, 29 deaths, 150 recovered, 745 active cases.
19/156 - Malaysia - last value from 2020-3-19 with 900 cases, 2 deaths, 75 recovered, 823 active cases.
20/156 - Canada - last value from 2020-3-19 with 800 cases, 9 deaths, 9 recovered, 782 active cases.
21/156 - Portugal - last value from 2020-3-19 with 785 cases, 3 deaths, 3 recovered, 779 active cases.
22/156 - Cruise Ship - last value from 2020-3-19 with 712 cases, 7 deaths, 325 recovered, 380 active cases.
23/156 - Czechia - last value from 2020-3-19 with 694 cases, 0 deaths, 3 recovered, 691 active cases.
24/156 - Australia - last value from 2020-3-19 with 681 cases, 6 deaths, 26 recovered, 649 active cases.
25/156 - Israel - last value from 2020-3-19 with 677 cases, 0 deaths, 11 recovered, 666 active cases.
26/156 - Brazil - last value from 2020-3-19 with 621 cases, 6 deaths, 2 recovered, 613 active cases.
27/156 - Ireland - last value from 2020-3-19 with 557 cases, 3 deaths, 5 recovered, 549 active cases.
28/156 - Qatar - last value from 2020-3-19 with 460 cases, 0 deaths, 4 recovered, 456 active cases.
29/156 - Pakistan - last value from 2020-3-19 with 454 cases, 2 deaths, 13 recovered, 439 active cases.
30/156 - Greece - last value from 2020-3-19 with 418 cases, 6 deaths, 8 recovered, 404 active cases.
31/156 - Finland - last value from 2020-3-19 with 400 cases, 0 deaths, 10 recovered, 390 active cases.
32/156 - Poland - last value from 2020-3-19 with 355 cases, 5 deaths, 1 recovered, 349 active cases.
33/156 - Singapore - last value from 2020-3-19 with 345 cases, 0 deaths, 114 recovered, 231 active cases.
34/156 - Luxembourg - last value from 2020-3-19 with 335 cases, 4 deaths, 0 recovered, 331 active cases.
35/156 - Iceland - last value from 2020-3-19 with 330 cases, 1 deaths, 5 recovered, 324 active cases.
36/156 - Indonesia - last value from 2020-3-19 with 311 cases, 25 deaths, 11 recovered, 275 active cases.
37/156 - Slovenia - last value from 2020-3-19 with 286 cases, 1 deaths, 0 recovered, 285 active cases.
38/156 - Bahrain - last value from 2020-3-19 with 278 cases, 1 deaths, 100 recovered, 177 active cases.
39/156 - Romania - last value from 2020-3-19 with 277 cases, 0 deaths, 25 recovered, 252 active cases.
40/156 - Saudi Arabia - last value from 2020-3-19 with 274 cases, 0 deaths, 6 recovered, 268 active cases.
41/156 - Thailand - last value from 2020-3-19 with 272 cases, 1 deaths, 42 recovered, 229 active cases.
42/156 - Estonia - last value from 2020-3-19 with 267 cases, 0 deaths, 1 recovered, 266 active cases.
43/156 - Egypt - last value from 2020-3-19 with 256 cases, 6 deaths, 32 recovered, 218 active cases.
44/156 - Chile - last value from 2020-3-19 with 238 cases, 0 deaths, 0 recovered, 238 active cases.
45/156 - Peru - last value from 2020-3-19 with 234 cases, 0 deaths, 1 recovered, 233 active cases.
46/156 - Philippines - last value from 2020-3-19 with 217 cases, 17 deaths, 8 recovered, 192 active cases.
47/156 - Ecuador - last value from 2020-3-19 with 199 cases, 3 deaths, 0 recovered, 196 active cases.
48/156 - Russia - last value from 2020-3-19 with 199 cases, 1 deaths, 9 recovered, 189 active cases.
49/156 - India - last value from 2020-3-19 with 194 cases, 4 deaths, 15 recovered, 175 active cases.
50/156 - Iraq - last value from 2020-3-19 with 192 cases, 13 deaths, 43 recovered, 136 active cases.
51/156 - Turkey - last value from 2020-3-19 with 192 cases, 3 deaths, 0 recovered, 189 active cases.
52/156 - Lebanon - last value from 2020-3-19 with 157 cases, 4 deaths, 4 recovered, 149 active cases.
53/156 - South Africa - last value from 2020-3-19 with 150 cases, 0 deaths, 0 recovered, 150 active cases.
54/156 - Kuwait - last value from 2020-3-19 with 148 cases, 0 deaths, 18 recovered, 130 active cases.
55/156 - United Arab Emirates - last value from 2020-3-19 with 140 cases, 0 deaths, 31 recovered, 109 active cases.
56/156 - Slovakia - last value from 2020-3-19 with 123 cases, 1 deaths, 0 recovered, 122 active cases.
57/156 - San Marino - last value from 2020-3-19 with 119 cases, 11 deaths, 4 recovered, 104 active cases.
58/156 - Mexico - last value from 2020-3-19 with 118 cases, 1 deaths, 4 recovered, 113 active cases.
59/156 - Armenia - last value from 2020-3-19 with 115 cases, 0 deaths, 1 recovered, 114 active cases.
60/156 - Panama - last value from 2020-3-19 with 109 cases, 1 deaths, 0 recovered, 108 active cases.
61/156 - Taiwan* - last value from 2020-3-19 with 108 cases, 1 deaths, 26 recovered, 81 active cases.
62/156 - Croatia - last value from 2020-3-19 with 105 cases, 1 deaths, 5 recovered, 99 active cases.
63/156 - Serbia - last value from 2020-3-19 with 103 cases, 0 deaths, 1 recovered, 102 active cases.
64/156 - Colombia - last value from 2020-3-19 with 102 cases, 0 deaths, 1 recovered, 101 active cases.
65/156 - Argentina - last value from 2020-3-19 with 97 cases, 3 deaths, 3 recovered, 91 active cases.
66/156 - Bulgaria - last value from 2020-3-19 with 94 cases, 3 deaths, 0 recovered, 91 active cases.
67/156 - Algeria - last value from 2020-3-19 with 87 cases, 9 deaths, 32 recovered, 46 active cases.
68/156 - Latvia - last value from 2020-3-19 with 86 cases, 0 deaths, 1 recovered, 85 active cases.
69/156 - Vietnam - last value from 2020-3-19 with 85 cases, 0 deaths, 16 recovered, 69 active cases.
70/156 - Uruguay - last value from 2020-3-19 with 79 cases, 0 deaths, 0 recovered, 79 active cases.
71/156 - Brunei - last value from 2020-3-19 with 75 cases, 0 deaths, 0 recovered, 75 active cases.
72/156 - Hungary - last value from 2020-3-19 with 73 cases, 1 deaths, 2 recovered, 70 active cases.
73/156 - Jordan - last value from 2020-3-19 with 69 cases, 0 deaths, 1 recovered, 68 active cases.
74/156 - Costa Rica - last value from 2020-3-19 with 69 cases, 1 deaths, 0 recovered, 68 active cases.
75/156 - Cyprus - last value from 2020-3-19 with 67 cases, 0 deaths, 0 recovered, 67 active cases.
76/156 - Albania - last value from 2020-3-19 with 64 cases, 2 deaths, 0 recovered, 62 active cases.
77/156 - Morocco - last value from 2020-3-19 with 63 cases, 2 deaths, 1 recovered, 60 active cases.
78/156 - Bosnia and Herzegovina - last value from 2020-3-19 with 63 cases, 0 deaths, 2 recovered, 61 active cases.
79/156 - Sri Lanka - last value from 2020-3-19 with 60 cases, 0 deaths, 3 recovered, 57 active cases.
80/156 - Andorra - last value from 2020-3-19 with 53 cases, 0 deaths, 1 recovered, 52 active cases.
81/156 - Malta - last value from 2020-3-19 with 53 cases, 0 deaths, 2 recovered, 51 active cases.
82/156 - Belarus - last value from 2020-3-19 with 51 cases, 0 deaths, 5 recovered, 46 active cases.
83/156 - Moldova - last value from 2020-3-19 with 49 cases, 1 deaths, 1 recovered, 47 active cases.
84/156 - Oman - last value from 2020-3-19 with 48 cases, 0 deaths, 12 recovered, 36 active cases.
85/156 - North Macedonia - last value from 2020-3-19 with 48 cases, 0 deaths, 1 recovered, 47 active cases.
86/156 - Azerbaijan - last value from 2020-3-19 with 44 cases, 1 deaths, 6 recovered, 37 active cases.
87/156 - Kazakhstan - last value from 2020-3-19 with 44 cases, 0 deaths, 0 recovered, 44 active cases.
88/156 - Venezuela - last value from 2020-3-19 with 42 cases, 0 deaths, 0 recovered, 42 active cases.
89/156 - Georgia - last value from 2020-3-19 with 40 cases, 0 deaths, 1 recovered, 39 active cases.
90/156 - Tunisia - last value from 2020-3-19 with 39 cases, 1 deaths, 0 recovered, 38 active cases.
91/156 - Cambodia - last value from 2020-3-19 with 37 cases, 0 deaths, 1 recovered, 36 active cases.
92/156 - Lithuania - last value from 2020-3-19 with 36 cases, 0 deaths, 1 recovered, 35 active cases.
93/156 - Dominican Republic - last value from 2020-3-19 with 34 cases, 2 deaths, 0 recovered, 32 active cases.
94/156 - Burkina Faso - last value from 2020-3-19 with 33 cases, 1 deaths, 0 recovered, 32 active cases.
95/156 - Senegal - last value from 2020-3-19 with 31 cases, 0 deaths, 2 recovered, 29 active cases.
96/156 - New Zealand - last value from 2020-3-19 with 28 cases, 0 deaths, 0 recovered, 28 active cases.
97/156 - Liechtenstein - last value from 2020-3-19 with 28 cases, 0 deaths, 0 recovered, 28 active cases.
98/156 - Martinique - last value from 2020-3-19 with 23 cases, 1 deaths, 0 recovered, 22 active cases.
99/156 - Uzbekistan - last value from 2020-3-19 with 23 cases, 0 deaths, 0 recovered, 23 active cases.
100/156 - Afghanistan - last value from 2020-3-19 with 22 cases, 0 deaths, 1 recovered, 21 active cases.
101/156 - Bangladesh - last value from 2020-3-19 with 17 cases, 1 deaths, 3 recovered, 13 active cases.
102/156 - Ukraine - last value from 2020-3-19 with 16 cases, 2 deaths, 0 recovered, 14 active cases.
103/156 - Jamaica - last value from 2020-3-19 with 15 cases, 1 deaths, 2 recovered, 12 active cases.
104/156 - Congo (Kinshasa) - last value from 2020-3-19 with 14 cases, 0 deaths, 0 recovered, 14 active cases.
105/156 - Cameroon - last value from 2020-3-19 with 13 cases, 0 deaths, 0 recovered, 13 active cases.
106/156 - Maldives - last value from 2020-3-19 with 13 cases, 0 deaths, 0 recovered, 13 active cases.
107/156 - Bolivia - last value from 2020-3-19 with 12 cases, 0 deaths, 0 recovered, 12 active cases.
108/156 - Honduras - last value from 2020-3-19 with 12 cases, 0 deaths, 0 recovered, 12 active cases.
109/156 - Paraguay - last value from 2020-3-19 with 11 cases, 0 deaths, 0 recovered, 11 active cases.
110/156 - Cuba - last value from 2020-3-19 with 11 cases, 1 deaths, 0 recovered, 10 active cases.
111/156 - Ghana - last value from 2020-3-19 with 11 cases, 0 deaths, 0 recovered, 11 active cases.
112/156 - Cote d'Ivoire - last value from 2020-3-19 with 9 cases, 0 deaths, 1 recovered, 8 active cases.
113/156 - Trinidad and Tobago - last value from 2020-3-19 with 9 cases, 0 deaths, 0 recovered, 9 active cases.
114/156 - Guatemala - last value from 2020-3-19 with 9 cases, 1 deaths, 0 recovered, 8 active cases.
115/156 - Nigeria - last value from 2020-3-19 with 8 cases, 0 deaths, 1 recovered, 7 active cases.
116/156 - Rwanda - last value from 2020-3-19 with 8 cases, 0 deaths, 0 recovered, 8 active cases.
117/156 - Monaco - last value from 2020-3-19 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
118/156 - Guyana - last value from 2020-3-19 with 7 cases, 1 deaths, 0 recovered, 6 active cases.
119/156 - Kenya - last value from 2020-3-19 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
120/156 - Mongolia - last value from 2020-3-19 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
121/156 - Ethiopia - last value from 2020-3-19 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
122/156 - Seychelles - last value from 2020-3-19 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
123/156 - Equatorial Guinea - last value from 2020-3-19 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
124/156 - Tanzania - last value from 2020-3-19 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
125/156 - Barbados - last value from 2020-3-19 with 5 cases, 0 deaths, 0 recovered, 5 active cases.
126/156 - Namibia - last value from 2020-3-19 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
127/156 - Congo (Brazzaville) - last value from 2020-3-19 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
128/156 - Montenegro - last value from 2020-3-19 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
129/156 - Kyrgyzstan - last value from 2020-3-19 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
130/156 - Mauritius - last value from 2020-3-19 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
131/156 - Bahamas, The - last value from 2020-3-19 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
132/156 - Sudan - last value from 2020-3-19 with 2 cases, 1 deaths, 0 recovered, 1 active cases.
133/156 - Mauritania - last value from 2020-3-19 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
134/156 - Saint Lucia - last value from 2020-3-19 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
135/156 - Kosovo - last value from 2020-3-19 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
136/156 - Benin - last value from 2020-3-19 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
137/156 - Liberia - last value from 2020-3-19 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
138/156 - Zambia - last value from 2020-3-19 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
