Mon Mar 16 20:13:21 PDT 2020 - start
* # of countries 147
1/148 - TOTAL - last value from 2020-3-15 with 167449 cases, 6440 deaths, 76034 recovered, 84975 active cases.
2/148 - China - last value from 2020-3-15 with 81003 cases, 3203 deaths, 67017 recovered, 10783 active cases.
3/148 - Italy - last value from 2020-3-15 with 24747 cases, 1809 deaths, 2335 recovered, 20603 active cases.
4/148 - Iran - last value from 2020-3-15 with 13938 cases, 724 deaths, 4590 recovered, 8624 active cases.
5/148 - Korea, South - last value from 2020-3-15 with 8162 cases, 75 deaths, 510 recovered, 7577 active cases.
6/148 - Spain - last value from 2020-3-15 with 7798 cases, 289 deaths, 517 recovered, 6992 active cases.
7/148 - Germany - last value from 2020-3-15 with 5795 cases, 11 deaths, 46 recovered, 5738 active cases.
8/148 - France - last value from 2020-3-15 with 4513 cases, 91 deaths, 12 recovered, 4410 active cases.
9/148 - US - last value from 2020-3-15 with 3499 cases, 63 deaths, 12 recovered, 3424 active cases.
10/148 - Switzerland - last value from 2020-3-15 with 2200 cases, 14 deaths, 4 recovered, 2182 active cases.
11/148 - Norway - last value from 2020-3-15 with 1221 cases, 3 deaths, 1 recovered, 1217 active cases.
12/148 - United Kingdom - last value from 2020-3-15 with 1144 cases, 21 deaths, 19 recovered, 1104 active cases.
13/148 - Netherlands - last value from 2020-3-15 with 1135 cases, 20 deaths, 2 recovered, 1113 active cases.
14/148 - Sweden - last value from 2020-3-15 with 1022 cases, 3 deaths, 1 recovered, 1018 active cases.
15/148 - Belgium - last value from 2020-3-15 with 886 cases, 4 deaths, 1 recovered, 881 active cases.
16/148 - Denmark - last value from 2020-3-15 with 875 cases, 2 deaths, 1 recovered, 872 active cases.
17/148 - Austria - last value from 2020-3-15 with 860 cases, 1 deaths, 6 recovered, 853 active cases.
18/148 - Japan - last value from 2020-3-15 with 839 cases, 22 deaths, 118 recovered, 699 active cases.
19/148 - Cruise Ship - last value from 2020-3-15 with 696 cases, 7 deaths, 325 recovered, 364 active cases.
20/148 - Malaysia - last value from 2020-3-15 with 428 cases, 0 deaths, 42 recovered, 386 active cases.
21/148 - Qatar - last value from 2020-3-15 with 401 cases, 0 deaths, 4 recovered, 397 active cases.
22/148 - Greece - last value from 2020-3-15 with 331 cases, 4 deaths, 8 recovered, 319 active cases.
23/148 - Australia - last value from 2020-3-15 with 297 cases, 3 deaths, 23 recovered, 271 active cases.
24/148 - Czechia - last value from 2020-3-15 with 253 cases, 0 deaths, 0 recovered, 253 active cases.
25/148 - Canada - last value from 2020-3-15 with 252 cases, 1 deaths, 8 recovered, 243 active cases.
26/148 - Israel - last value from 2020-3-15 with 251 cases, 0 deaths, 4 recovered, 247 active cases.
27/148 - Portugal - last value from 2020-3-15 with 245 cases, 0 deaths, 2 recovered, 243 active cases.
28/148 - Finland - last value from 2020-3-15 with 244 cases, 0 deaths, 10 recovered, 234 active cases.
29/148 - Singapore - last value from 2020-3-15 with 226 cases, 0 deaths, 105 recovered, 121 active cases.
30/148 - Slovenia - last value from 2020-3-15 with 219 cases, 1 deaths, 0 recovered, 218 active cases.
31/148 - Bahrain - last value from 2020-3-15 with 214 cases, 0 deaths, 60 recovered, 154 active cases.
32/148 - Estonia - last value from 2020-3-15 with 171 cases, 0 deaths, 1 recovered, 170 active cases.
33/148 - Iceland - last value from 2020-3-15 with 171 cases, 5 deaths, 8 recovered, 158 active cases.
34/148 - Brazil - last value from 2020-3-15 with 162 cases, 0 deaths, 0 recovered, 162 active cases.
35/148 - Philippines - last value from 2020-3-15 with 140 cases, 11 deaths, 2 recovered, 127 active cases.
36/148 - Romania - last value from 2020-3-15 with 131 cases, 0 deaths, 9 recovered, 122 active cases.
37/148 - Ireland - last value from 2020-3-15 with 129 cases, 2 deaths, 0 recovered, 127 active cases.
38/148 - Poland - last value from 2020-3-15 with 119 cases, 3 deaths, 0 recovered, 116 active cases.
39/148 - Indonesia - last value from 2020-3-15 with 117 cases, 5 deaths, 8 recovered, 104 active cases.
40/148 - Iraq - last value from 2020-3-15 with 116 cases, 10 deaths, 26 recovered, 80 active cases.
41/148 - Thailand - last value from 2020-3-15 with 114 cases, 1 deaths, 35 recovered, 78 active cases.
42/148 - India - last value from 2020-3-15 with 113 cases, 2 deaths, 13 recovered, 98 active cases.
43/148 - Kuwait - last value from 2020-3-15 with 112 cases, 0 deaths, 5 recovered, 107 active cases.
44/148 - Egypt - last value from 2020-3-15 with 110 cases, 2 deaths, 21 recovered, 87 active cases.
45/148 - Lebanon - last value from 2020-3-15 with 110 cases, 3 deaths, 1 recovered, 106 active cases.
46/148 - Saudi Arabia - last value from 2020-3-15 with 103 cases, 0 deaths, 1 recovered, 102 active cases.
47/148 - San Marino - last value from 2020-3-15 with 101 cases, 5 deaths, 4 recovered, 92 active cases.
48/148 - United Arab Emirates - last value from 2020-3-15 with 98 cases, 0 deaths, 23 recovered, 75 active cases.
49/148 - Chile - last value from 2020-3-15 with 74 cases, 0 deaths, 0 recovered, 74 active cases.
50/148 - Russia - last value from 2020-3-15 with 63 cases, 0 deaths, 8 recovered, 55 active cases.
51/148 - Luxembourg - last value from 2020-3-15 with 59 cases, 1 deaths, 0 recovered, 58 active cases.
52/148 - Taiwan* - last value from 2020-3-15 with 59 cases, 1 deaths, 20 recovered, 38 active cases.
53/148 - Vietnam - last value from 2020-3-15 with 56 cases, 0 deaths, 16 recovered, 40 active cases.
54/148 - Slovakia - last value from 2020-3-15 with 54 cases, 0 deaths, 0 recovered, 54 active cases.
55/148 - Pakistan - last value from 2020-3-15 with 53 cases, 0 deaths, 2 recovered, 51 active cases.
56/148 - South Africa - last value from 2020-3-15 with 51 cases, 0 deaths, 0 recovered, 51 active cases.
57/148 - Bulgaria - last value from 2020-3-15 with 51 cases, 2 deaths, 0 recovered, 49 active cases.
58/148 - Brunei - last value from 2020-3-15 with 50 cases, 0 deaths, 0 recovered, 50 active cases.
59/148 - Croatia - last value from 2020-3-15 with 49 cases, 0 deaths, 1 recovered, 48 active cases.
60/148 - Algeria - last value from 2020-3-15 with 48 cases, 4 deaths, 12 recovered, 32 active cases.
61/148 - Serbia - last value from 2020-3-15 with 48 cases, 0 deaths, 0 recovered, 48 active cases.
62/148 - Argentina - last value from 2020-3-15 with 45 cases, 2 deaths, 1 recovered, 42 active cases.
63/148 - Peru - last value from 2020-3-15 with 43 cases, 0 deaths, 0 recovered, 43 active cases.
64/148 - Panama - last value from 2020-3-15 with 43 cases, 1 deaths, 0 recovered, 42 active cases.
65/148 - Albania - last value from 2020-3-15 with 42 cases, 1 deaths, 0 recovered, 41 active cases.
66/148 - Mexico - last value from 2020-3-15 with 41 cases, 0 deaths, 4 recovered, 37 active cases.
67/148 - Colombia - last value from 2020-3-15 with 34 cases, 0 deaths, 0 recovered, 34 active cases.
68/148 - Georgia - last value from 2020-3-15 with 33 cases, 0 deaths, 0 recovered, 33 active cases.
69/148 - Hungary - last value from 2020-3-15 with 32 cases, 1 deaths, 1 recovered, 30 active cases.
70/148 - Latvia - last value from 2020-3-15 with 30 cases, 0 deaths, 1 recovered, 29 active cases.
71/148 - Ecuador - last value from 2020-3-15 with 28 cases, 2 deaths, 0 recovered, 26 active cases.
72/148 - Morocco - last value from 2020-3-15 with 28 cases, 1 deaths, 1 recovered, 26 active cases.
73/148 - Belarus - last value from 2020-3-15 with 27 cases, 0 deaths, 3 recovered, 24 active cases.
74/148 - Costa Rica - last value from 2020-3-15 with 27 cases, 0 deaths, 0 recovered, 27 active cases.
75/148 - Armenia - last value from 2020-3-15 with 26 cases, 0 deaths, 0 recovered, 26 active cases.
76/148 - Cyprus - last value from 2020-3-15 with 26 cases, 0 deaths, 0 recovered, 26 active cases.
77/148 - Senegal - last value from 2020-3-15 with 24 cases, 0 deaths, 1 recovered, 23 active cases.
78/148 - Bosnia and Herzegovina - last value from 2020-3-15 with 24 cases, 0 deaths, 0 recovered, 24 active cases.
79/148 - Azerbaijan - last value from 2020-3-15 with 23 cases, 1 deaths, 6 recovered, 16 active cases.
80/148 - Moldova - last value from 2020-3-15 with 23 cases, 0 deaths, 0 recovered, 23 active cases.
81/148 - Oman - last value from 2020-3-15 with 22 cases, 0 deaths, 9 recovered, 13 active cases.
82/148 - Malta - last value from 2020-3-15 with 21 cases, 0 deaths, 1 recovered, 20 active cases.
83/148 - Sri Lanka - last value from 2020-3-15 with 18 cases, 0 deaths, 1 recovered, 17 active cases.
84/148 - Tunisia - last value from 2020-3-15 with 18 cases, 0 deaths, 0 recovered, 18 active cases.
85/148 - Afghanistan - last value from 2020-3-15 with 16 cases, 0 deaths, 0 recovered, 16 active cases.
86/148 - North Macedonia - last value from 2020-3-15 with 14 cases, 0 deaths, 1 recovered, 13 active cases.
87/148 - Maldives - last value from 2020-3-15 with 13 cases, 0 deaths, 0 recovered, 13 active cases.
88/148 - Lithuania - last value from 2020-3-15 with 12 cases, 0 deaths, 1 recovered, 11 active cases.
89/148 - Dominican Republic - last value from 2020-3-15 with 11 cases, 0 deaths, 0 recovered, 11 active cases.
90/148 - Bolivia - last value from 2020-3-15 with 10 cases, 0 deaths, 0 recovered, 10 active cases.
91/148 - Jamaica - last value from 2020-3-15 with 10 cases, 0 deaths, 0 recovered, 10 active cases.
92/148 - Venezuela - last value from 2020-3-15 with 10 cases, 0 deaths, 0 recovered, 10 active cases.
93/148 - Martinique - last value from 2020-3-15 with 9 cases, 0 deaths, 0 recovered, 9 active cases.
94/148 - Kazakhstan - last value from 2020-3-15 with 9 cases, 0 deaths, 0 recovered, 9 active cases.
95/148 - New Zealand - last value from 2020-3-15 with 8 cases, 0 deaths, 0 recovered, 8 active cases.
96/148 - Jordan - last value from 2020-3-15 with 8 cases, 0 deaths, 1 recovered, 7 active cases.
97/148 - Cambodia - last value from 2020-3-15 with 7 cases, 0 deaths, 1 recovered, 6 active cases.
98/148 - Reunion - last value from 2020-3-15 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
99/148 - Paraguay - last value from 2020-3-15 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
100/148 - Turkey - last value from 2020-3-15 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
101/148 - Ghana - last value from 2020-3-15 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
102/148 - Bangladesh - last value from 2020-3-15 with 5 cases, 0 deaths, 0 recovered, 5 active cases.
103/148 - Liechtenstein - last value from 2020-3-15 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
104/148 - Cuba - last value from 2020-3-15 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
105/148 - Guyana - last value from 2020-3-15 with 4 cases, 1 deaths, 0 recovered, 3 active cases.
106/148 - Uruguay - last value from 2020-3-15 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
107/148 - Ukraine - last value from 2020-3-15 with 3 cases, 1 deaths, 0 recovered, 2 active cases.
108/148 - Burkina Faso - last value from 2020-3-15 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
109/148 - Honduras - last value from 2020-3-15 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
110/148 - Guadeloupe - last value from 2020-3-15 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
111/148 - Kenya - last value from 2020-3-15 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
112/148 - Nigeria - last value from 2020-3-15 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
113/148 - Monaco - last value from 2020-3-15 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
