Tue Mar 17 00:05:01 PDT 2020 - start
* # of countries 156
1/157 - TOTAL - last value from 2020-3-16 with 181546 cases, 7126 deaths, 78088 recovered, 96332 active cases.
2/157 - China - last value from 2020-3-16 with 81033 cases, 3217 deaths, 67910 recovered, 9906 active cases.
3/157 - Italy - last value from 2020-3-16 with 27980 cases, 2158 deaths, 2749 recovered, 23073 active cases.
4/157 - Iran - last value from 2020-3-16 with 14991 cases, 853 deaths, 4590 recovered, 9548 active cases.
5/157 - Spain - last value from 2020-3-16 with 9942 cases, 342 deaths, 530 recovered, 9070 active cases.
6/157 - Korea, South - last value from 2020-3-16 with 8236 cases, 75 deaths, 1137 recovered, 7024 active cases.
7/157 - Germany - last value from 2020-3-16 with 7272 cases, 17 deaths, 67 recovered, 7188 active cases.
8/157 - France - last value from 2020-3-16 with 6650 cases, 148 deaths, 12 recovered, 6490 active cases.
9/157 - US - last value from 2020-3-16 with 4632 cases, 85 deaths, 17 recovered, 4530 active cases.
10/157 - Switzerland - last value from 2020-3-16 with 2200 cases, 14 deaths, 4 recovered, 2182 active cases.
11/157 - United Kingdom - last value from 2020-3-16 with 1551 cases, 56 deaths, 21 recovered, 1474 active cases.
12/157 - Netherlands - last value from 2020-3-16 with 1414 cases, 24 deaths, 2 recovered, 1388 active cases.
13/157 - Norway - last value from 2020-3-16 with 1333 cases, 3 deaths, 1 recovered, 1329 active cases.
14/157 - Sweden - last value from 2020-3-16 with 1103 cases, 6 deaths, 1 recovered, 1096 active cases.
15/157 - Belgium - last value from 2020-3-16 with 1058 cases, 5 deaths, 1 recovered, 1052 active cases.
16/157 - Austria - last value from 2020-3-16 with 1018 cases, 3 deaths, 6 recovered, 1009 active cases.
17/157 - Denmark - last value from 2020-3-16 with 932 cases, 3 deaths, 1 recovered, 928 active cases.
18/157 - Japan - last value from 2020-3-16 with 825 cases, 27 deaths, 144 recovered, 654 active cases.
19/157 - Cruise Ship - last value from 2020-3-16 with 696 cases, 7 deaths, 325 recovered, 364 active cases.
20/157 - Malaysia - last value from 2020-3-16 with 566 cases, 0 deaths, 42 recovered, 524 active cases.
21/157 - Qatar - last value from 2020-3-16 with 439 cases, 0 deaths, 4 recovered, 435 active cases.
22/157 - Canada - last value from 2020-3-16 with 415 cases, 4 deaths, 9 recovered, 402 active cases.
23/157 - Australia - last value from 2020-3-16 with 377 cases, 3 deaths, 23 recovered, 351 active cases.
24/157 - Greece - last value from 2020-3-16 with 331 cases, 4 deaths, 8 recovered, 319 active cases.
25/157 - Portugal - last value from 2020-3-16 with 331 cases, 0 deaths, 3 recovered, 328 active cases.
26/157 - Czechia - last value from 2020-3-16 with 298 cases, 0 deaths, 3 recovered, 295 active cases.
27/157 - Finland - last value from 2020-3-16 with 277 cases, 0 deaths, 10 recovered, 267 active cases.
28/157 - Israel - last value from 2020-3-16 with 255 cases, 0 deaths, 4 recovered, 251 active cases.
29/157 - Slovenia - last value from 2020-3-16 with 253 cases, 1 deaths, 0 recovered, 252 active cases.
30/157 - Singapore - last value from 2020-3-16 with 243 cases, 0 deaths, 109 recovered, 134 active cases.
31/157 - Bahrain - last value from 2020-3-16 with 214 cases, 1 deaths, 77 recovered, 136 active cases.
32/157 - Estonia - last value from 2020-3-16 with 205 cases, 0 deaths, 1 recovered, 204 active cases.
33/157 - Brazil - last value from 2020-3-16 with 200 cases, 0 deaths, 1 recovered, 199 active cases.
34/157 - Iceland - last value from 2020-3-16 with 180 cases, 0 deaths, 0 recovered, 180 active cases.
35/157 - Poland - last value from 2020-3-16 with 177 cases, 4 deaths, 13 recovered, 160 active cases.
36/157 - Ireland - last value from 2020-3-16 with 169 cases, 2 deaths, 0 recovered, 167 active cases.
37/157 - Romania - last value from 2020-3-16 with 158 cases, 0 deaths, 9 recovered, 149 active cases.
38/157 - Chile - last value from 2020-3-16 with 155 cases, 0 deaths, 0 recovered, 155 active cases.
39/157 - Egypt - last value from 2020-3-16 with 150 cases, 2 deaths, 27 recovered, 121 active cases.
40/157 - Thailand - last value from 2020-3-16 with 147 cases, 1 deaths, 35 recovered, 111 active cases.
41/157 - Philippines - last value from 2020-3-16 with 142 cases, 12 deaths, 2 recovered, 128 active cases.
42/157 - Pakistan - last value from 2020-3-16 with 136 cases, 0 deaths, 2 recovered, 134 active cases.
43/157 - Indonesia - last value from 2020-3-16 with 134 cases, 5 deaths, 8 recovered, 121 active cases.
44/157 - Iraq - last value from 2020-3-16 with 124 cases, 10 deaths, 26 recovered, 88 active cases.
45/157 - Kuwait - last value from 2020-3-16 with 123 cases, 0 deaths, 9 recovered, 114 active cases.
46/157 - India - last value from 2020-3-16 with 119 cases, 2 deaths, 13 recovered, 104 active cases.
47/157 - Saudi Arabia - last value from 2020-3-16 with 118 cases, 0 deaths, 2 recovered, 116 active cases.
48/157 - San Marino - last value from 2020-3-16 with 109 cases, 7 deaths, 4 recovered, 98 active cases.
49/157 - Lebanon - last value from 2020-3-16 with 99 cases, 3 deaths, 1 recovered, 95 active cases.
50/157 - United Arab Emirates - last value from 2020-3-16 with 98 cases, 0 deaths, 23 recovered, 75 active cases.
51/157 - Russia - last value from 2020-3-16 with 90 cases, 0 deaths, 8 recovered, 82 active cases.
